Model,Release Date,Release Year,Model ID,Cluster ID,RAM Capacity (Mb),Storage (Mb),CPU Clock (MHz),Display Diagonal (in),Display Width(px),Display Length(px),Width (mm),Length (mm),Depth (mm),Volume (cubic cm),Mass (grams),Pixel Density (per inch)
Gigabyte GSmart MS802,01-10-08,2008.75,1434,0,0.062471389,0.004193611,0.259662406,0.079136691,0.056910569,0.142857143,0.145429741,0.278688525,0.055805003,0.012718669,0.015086207,0.244068652
HKC C880 (TechFaith Moffett),01-10-08,2008.75,1435,0,0.031220435,0.002096294,0.207638683,0.079136691,0.056910569,0.142857143,0.142155525,0.268442623,0.060295061,0.012825729,0.016810345,0.244068652
HTC Touch HD T8282 (HTC Blackstone 100),01-10-08,2008.75,1436,1,0.140598773,0.008388246,0.263664231,0.151079137,0.154471545,0.380952381,0.15361528,0.270491803,0.037844772,0.00912147,0.01862069,0.50454316
iconX G300,01-10-08,2008.75,1437,0,0.062471389,0.001047635,0.197634121,0.129496403,0.089430894,0.103174603,0.249658936,0.12704918,0.063502245,0.017407875,0.023706897,0.17617365
iconX G400,01-10-08,2008.75,1438,0,0.062471389,0.001047635,0.197634121,0.18705036,0.154471545,0.119047619,0.320600273,0.147540984,0.060295061,0.025544398,0.026939655,0.21251893
Mio Moov 150,01-10-08,2008.75,1439,0,0.015594958,0.008388246,0.199635034,0.129496403,0.089430894,0.103174603,0.249658936,0.140983607,0.074406671,0.021540372,0.019396552,0.17617365
Mio Moov 500,01-10-08,2008.75,1440,0,0.031220435,0.016777517,0.199635034,0.215827338,0.154471545,0.119047619,0.361527967,0.142622951,0.074406671,0.034708691,0.029094828,0.18525997
Mio Moov 510,01-10-08,2008.75,1441,0,0.031220435,0.016777517,0.199635034,0.215827338,0.154471545,0.119047619,0.361527967,0.142622951,0.075689545,0.035201165,0.029094828,0.18525997
Mio Moov 560,01-10-08,2008.75,1442,0,0.031220435,0.031878203,0.199635034,0.215827338,0.154471545,0.119047619,0.361527967,0.142622951,0.075689545,0.035201165,0.029094828,0.18525997
Mio Moov 580,01-10-08,2008.75,1443,0,0.031220435,0.031878203,0.199635034,0.215827338,0.154471545,0.119047619,0.361527967,0.142622951,0.075689545,0.035201165,0.029094828,0.18525997
Nokia 5800 / 5800d-1 XpressMusic (Nokia Tube),01-10-08,2008.75,1444,1,0.062471389,0.004193611,0.184127962,0.107913669,0.105691057,0.301587302,0.123328786,0.254098361,0.060295061,0.009592532,0.010560345,0.469207471
Nokia N85,01-10-08,2008.75,1445,0,0.062471389,0.004193611,0.184127962,0.064748201,0.056910569,0.142857143,0.118690314,0.221311475,0.063502245,0.008200758,0.014655172,0.276375568
O2 XDA Mantle (HTC Sedna 100),01-10-08,2008.75,1446,0,0.062471389,0.004193611,0.199635034,0.129496403,0.056910569,0.142857143,0.181173261,0.362295082,0.092366902,0.034515984,0.034482759,0.17617365
Palm Centro 690 CDMA,01-10-08,2008.75,1447,0,0.031220435,0.003144952,0.15561496,0.043165468,0.089430894,0.142857143,0.128240109,0.23852459,0.080179602,0.01340385,0.012715517,0.395254922
RIM BlackBerry Pearl Flip 8220 (RIM Kickstart),01-10-08,2008.75,1448,0,0.031220435,0.002096294,0.15561496,0.064748201,0.056910569,0.142857143,0.118690314,0.213114754,0.073123797,0.009485472,0.009051724,0.276375568
Samsung GT-i8510 INNOV8 8GB,01-10-08,2008.75,1449,0,0.062471389,0.004193611,0.164619066,0.079136691,0.056910569,0.142857143,0.129331514,0.235655738,0.071199487,0.011690898,0.01637931,0.249116608
Samsung SGH-i740C,01-10-08,2008.75,1450,6,0.031220435,0.004193611,0.311686129,0.079136691,0.056910569,0.142857143,0.14324693,0.237704918,0.050032072,0.009357001,0.00862069,0.249116608
Samsung SGH-i900L,01-10-08,2008.75,1451,6,0.062471389,0.004193611,0.311686129,0.107913669,0.12195122,0.103174603,0.137517053,0.258196721,0.041051956,0.007622637,0.013362069,0.257193337
Samsung SGH-i907 Epix,01-10-08,2008.75,1452,0,0.062471389,0.004193611,0.112095115,0.057553957,0.089430894,0.142857143,0.14952251,0.274180328,0.04425914,0.010341948,0.014008621,0.336446239
Sony Ericsson Xperia X1 / X1i / X1c (SE Venus),01-10-08,2008.75,1453,1,0.124973296,0.008388246,0.263664231,0.09352518,0.154471545,0.380952381,0.125784447,0.25204918,0.069916613,0.01171231,0.02112069,0.674911661
T-Mobile G1 (HTC Dream 100),01-10-08,2008.75,1454,6,0.093722343,0.004193611,0.263664231,0.107913669,0.089430894,0.222222222,0.134242838,0.281557377,0.07055805,0.014560092,0.02112069,0.344522968
TechFaith Pebble,01-10-08,2008.75,1455,0,0.031220435,0.002096294,0.100089641,0.050359712,0.089430894,0.103174603,0.165075034,0.313934426,0.053880693,0.016679871,0.021551724,0.301615346
AnyDATA ASP-505A,01-11-08,2008.833333,1456,0,0.031220435,0.002096294,0.199635034,0.079136691,0.056910569,0.142857143,0.140518417,0.217213115,0.052597819,0.00867182,0.012931034,0.249116608
AT_T HTC Fuze (HTC Raphael 110),01-11-08,2008.833333,1457,6,0.140598773,0.008388246,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.076330981,0.030790313,0.036422414,0.17617365
Dopod Touch T3238 (HTC Jade 100),01-11-08,2008.833333,1458,6,0.093722343,0.004193611,0.263664231,0.079136691,0.056910569,0.142857143,0.12851296,0.217213115,0.053880693,0.007536989,0.007758621,0.254164563
Dopod Touch Viva T2222 (HTC Opal 100),01-11-08,2008.833333,1459,0,0.062471389,0.004193611,0.100089641,0.079136691,0.056910569,0.142857143,0.14324693,0.227459016,0.061898653,0.011348307,0.010775862,0.254164563
Hewlett-Packard iPAQ Data Messenger,01-11-08,2008.833333,1460,0,0.062471389,0.004193611,0.263664231,0.079136691,0.056910569,0.142857143,0.137789905,0.266393443,0.07248236,0.014774212,0.021551724,0.247097426
Hewlett-Packard iPAQ Voice Messenger (HP Silver),01-11-08,2008.833333,1461,6,0.062471389,0.004193611,0.263664231,0.050359712,0.056910569,0.142857143,0.118690314,0.266393443,0.048107761,0.007151575,0.01012931,0.308430086
HTC MAX 4G T8290 (HTC Quartz),01-11-08,2008.833333,1462,1,0.140598773,0.004193611,0.263664231,0.151079137,0.154471545,0.380952381,0.154433834,0.264344262,0.050032072,0.011862193,0.019612069,0.50454316
HTC MAX 4G T8290 (HTC Quartz) ,01-11-08,2008.833333,1463,1,0.140598773,0.004193611,0.263664231,0.151079137,0.154471545,0.380952381,0.154433834,0.264344262,0.050032072,0.011862193,0.019612069,0.50454316
HTC S740 (HTC Rose 100),01-11-08,2008.833333,1464,6,0.124973296,0.004193611,0.263664231,0.050359712,0.056910569,0.142857143,0.100682128,0.275819672,0.067350866,0.008500525,0.017241379,0.308430086
HTC Touch 3G T3232 (HTC Jade 100),01-11-08,2008.833333,1465,6,0.093722343,0.004193611,0.263664231,0.079136691,0.056910569,0.142857143,0.12851296,0.217213115,0.053880693,0.007536989,0.007758621,0.254164563
HTC Touch Viva T2223 (HTC Opal 100),01-11-08,2008.833333,1466,0,0.062471389,0.004193611,0.100089641,0.079136691,0.056910569,0.142857143,0.14324693,0.227459016,0.061898653,0.011348307,0.010775862,0.254164563
ICD Velocity Mobile 111,01-11-08,2008.833333,1467,0,0.062471389,0.004193611,0.263664231,0.057553957,0.089430894,0.103174603,0.151432469,0.274590164,0.057087877,0.013660793,0.018318966,0.298334175
Mio C728 Digi-Walker,01-11-08,2008.833333,1468,3,0.031220435,0.031878203,0.199635034,0.381294964,0.284552846,0.222222222,0.478854025,0.303278689,0.108402822,0.100807229,0.068965517,0.22387683
Navon N250,01-11-08,2008.833333,1469,0,0.031220435,0.001047635,0.197634121,0.129496403,0.089430894,0.103174603,0.255661664,0.119672131,0.073123797,0.019913068,0.00862069,0.17617365
Navon N450,01-11-08,2008.833333,1470,0,0.031220435,0.001047635,0.197634121,0.18705036,0.154471545,0.119047619,0.298772169,0.12704918,0.076330981,0.026315226,0.026939655,0.21251893
Navon N460,01-11-08,2008.833333,1471,0,0.031220435,0.001047635,0.197634121,0.18705036,0.154471545,0.119047619,0.320600273,0.143442623,0.073123797,0.029591247,0.026939655,0.21251893
Navon N550,01-11-08,2008.833333,1472,0,0.031220435,0.001047635,0.199635034,0.18705036,0.154471545,0.119047619,0.299317872,0.129918033,0.073123797,0.025694281,0.023706897,0.21251893
NDrive G280S,01-11-08,2008.833333,1473,0,0.031220435,0.001047635,0.185628647,0.129496403,0.089430894,0.103174603,0.227830832,0.106557377,0.08274535,0.01802882,0.017241379,0.17617365
Nokia 6650-2 fold,01-11-08,2008.833333,1474,0,0.031220435,0.002096294,0.184127962,0.035971223,0.056910569,0.142857143,0.111323329,0.207786885,0.064785119,0.006916044,0.011206897,0.345784957
Nokia E63,01-11-08,2008.833333,1475,0,0.062471389,0.004193611,0.184127962,0.050359712,0.089430894,0.103174603,0.14324693,0.262295082,0.04425914,0.00912147,0.014224138,0.315244826
Nokia N96-3 NAM,01-11-08,2008.833333,1476,0,0.062471389,0.004193611,0.131604011,0.079136691,0.056910569,0.142857143,0.132332879,0.221311475,0.089159718,0.012397491,0.014008621,0.244068652
Nokia N96c,01-11-08,2008.833333,1477,0,0.062471389,0.004193611,0.131604011,0.079136691,0.056910569,0.142857143,0.132332879,0.221311475,0.076330981,0.012397491,0.014008621,0.244068652
NTT DoCoMo PRO series HT-01A (HTC Raphael 600),01-11-08,2008.833333,1478,1,0.140598773,0.008388246,0.263664231,0.079136691,0.154471545,0.301587302,0.12414734,0.221311475,0.089159718,0.013489497,0.024137931,0.620646138
O2 Xda Diamond Pro / Xda Serra (HTC Raphael 100),01-11-08,2008.833333,1479,1,0.140598773,0.008388246,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.0766517,0.010663127,0.02262931,0.620646138
O2 XDA Zest ( Asus Crystal),01-11-08,2008.833333,1480,1,0.062471389,0.004193611,0.311686129,0.079136691,0.154471545,0.301587302,0.1473397,0.217213115,0.066709429,0.012354667,0.013038793,0.600201918
Pharos Traveler 117,01-11-08,2008.833333,1481,1,0.062471389,0.004193611,0.199635034,0.079136691,0.154471545,0.301587302,0.140518417,0.262295082,0.057087877,0.01160525,0.01637931,0.600201918
Pharos Traveler 127,01-11-08,2008.833333,1482,0,0.062471389,0.004193611,0.199635034,0.057553957,0.089430894,0.103174603,0.151432469,0.274590164,0.057087877,0.013660793,0.018318966,0.295053004
Pharos Traveler 619,01-11-08,2008.833333,1483,0,0.031220435,0.002096294,0.100089641,0.079136691,0.089430894,0.103174603,0.175989086,0.31147541,0.063502245,0.020962251,0.026939655,0.244068652
RealAegis  Armor 1000 Series,01-11-08,2008.833333,1484,0,0.031220435,0.031878203,0.199635034,0.129496403,0.089430894,0.103174603,0.282401091,0.168032787,0.121231559,0.043551806,0.036637931,0.17617365
RIM BlackBerry Curve 8900 (RIM Javelin),01-11-08,2008.833333,1485,1,0.062471389,0.004193611,0.255660581,0.050359712,0.154471545,0.162698413,0.145975443,0.245901639,0.047466325,0.00946406,0.01075431,0.508581524
RIM BlackBerry Storm 9530 / 9530T (RIM Thunder),01-11-08,2008.833333,1486,6,0.093722343,0.002096294,0.263664231,0.115107914,0.105691057,0.222222222,0.151978172,0.260327869,0.05035279,0.011455367,0.020474138,0.351337708
Samsung GT-i7110,01-11-08,2008.833333,1487,0,0.062471389,0.004193611,0.164619066,0.064748201,0.056910569,0.142857143,0.12414734,0.282786885,0.043617704,0.007515577,0.014008621,0.276375568
Samsung GT-i8510 INNOV8 16GB,01-11-08,2008.833333,1488,0,0.062471389,0.004193611,0.164619066,0.079136691,0.056910569,0.142857143,0.129331514,0.235655738,0.071199487,0.011690898,0.01637931,0.249116608
Samsung SCH-i770 Saga,01-11-08,2008.833333,1489,0,0.062471389,0.004193611,0.199635034,0.064748201,0.089430894,0.142857143,0.151432469,0.307377049,0.047466325,0.012782905,0.015086207,0.335689046
Samsung SCH-M490 T*OMNIA,01-11-08,2008.833333,1490,1,0.062471389,0.004193611,0.402727644,0.115107914,0.154471545,0.380952381,0.140791269,0.271311475,0.04842848,0.010127829,0.015323276,0.59994952
Samsung SCH-M495 T*OMNIA,01-11-08,2008.833333,1491,1,0.062471389,0.004193611,0.402727644,0.115107914,0.154471545,0.380952381,0.140791269,0.271311475,0.04842848,0.010127829,0.015323276,0.59994952
Samsung SGH-i617T,01-11-08,2008.833333,1492,0,0.062471389,0.004193611,0.129603099,0.050359712,0.089430894,0.103174603,0.148431105,0.266393443,0.042976267,0.009592532,0.012068966,0.308430086
Samsung SPH-M4800 Ultra Messaging II,01-11-08,2008.833333,1493,6,0.062471389,0.004193611,0.311686129,0.057553957,0.089430894,0.142857143,0.14952251,0.274180328,0.043617704,0.010192065,0.013793103,0.336446239
Simvalley Mobile Smartphone XP-45,01-11-08,2008.833333,1494,0,0.031220435,0.002096294,0.199635034,0.050359712,0.056910569,0.142857143,0.125511596,0.229508197,0.060295061,0.008843115,0.010775862,0.308430086
Simvalley Mobile Smartphone XP-65,01-11-08,2008.833333,1495,0,0.031220435,0.002096294,0.199635034,0.079136691,0.056910569,0.142857143,0.14324693,0.245901639,0.076330981,0.015352333,0.011637931,0.249116608
SoftBank 930SC Omnia,01-11-08,2008.833333,1496,1,0.062471389,0.004193611,0.402727644,0.115107914,0.154471545,0.380952381,0.140791269,0.271311475,0.04842848,0.010127829,0.014439655,0.59994952
SoftBank X04HT Touch Diamond (HTC Diamond),01-11-08,2008.833333,1497,1,0.093722343,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.033675433,0.003190373,0.010775862,0.620646138
Sprint Touch Pro (HTC Raphael 800),01-11-08,2008.833333,1498,1,0.140598773,0.008388246,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.0766517,0.010663127,0.019396552,0.620646138
Verizon Touch Pro XV6850 (HTC Raphael 500),01-11-08,2008.833333,1499,1,0.093722343,0.008388246,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.0766517,0.010663127,0.019396552,0.620646138
Blaupunkt TravelPilot 500,01-12-08,2008.916667,1500,0,0.062471389,0.125838031,0.249657844,0.18705036,0.154471545,0.119047619,0.227830832,0.303278689,0.08274535,0.035586579,0.039439655,0.21251893
Datalogic Mobile R Series-10 (R10),01-12-08,2008.916667,1501,3,0.062471389,0.002096294,0.259662406,0.625899281,0.284552846,0.281746032,0.746248295,0.725409836,0.512508018,0.136243924,0.090301724,0.451539626
Datalogic Mobile R Series-12 (R12),01-12-08,2008.916667,1502,3,0.062471389,0.002096294,0.259662406,0.748201439,0.284552846,0.281746032,0.8526603,0.868852459,0.608723541,0.136243924,0.090301724,0.451539626
Datalogic Mobile R Series-7 (R7),01-12-08,2008.916667,1503,3,0.062471389,0.002096294,0.259662406,0.129496403,0.154471545,0.100198413,0.607094134,0.446721311,0.50609365,0.107083057,0.849137931,0.130742049
E-TEN Glofiish DX900,01-12-08,2008.916667,1504,1,0.062471389,0.004193611,0.266165371,0.079136691,0.154471545,0.301587302,0.1473397,0.233606557,0.073123797,0.014581504,0.01875,0.600201918
E-TEN Glofiish X900,01-12-08,2008.916667,1505,1,0.062471389,0.004193611,0.266165371,0.079136691,0.154471545,0.301587302,0.1473397,0.233606557,0.077293137,0.015480804,0.018534483,0.600201918
Emobile Dual Diamond S22HT (HTC Rose),01-12-08,2008.916667,1506,6,0.124973296,0.004193611,0.263664231,0.050359712,0.056910569,0.142857143,0.100682128,0.275819672,0.067350866,0.008500525,0.017241379,0.308430086
HKC G920 (SIM Wacke),01-12-08,2008.916667,1507,6,0.062471389,0.004193611,0.311686129,0.107913669,0.056910569,0.142857143,0.160982265,0.295081967,0.069916613,0.019399182,0.015517241,0.204442201
HTC Touch HD T8285 (HTC Blackstone),01-12-08,2008.916667,1508,1,0.140598773,0.008388246,0.263664231,0.151079137,0.154471545,0.380952381,0.15361528,0.270491803,0.037844772,0.00912147,0.01862069,0.50454316
LG Incite CT810,01-12-08,2008.916667,1509,6,0.062471389,0.004193611,0.263664231,0.09352518,0.056910569,0.182539683,0.135061392,0.237704918,0.050673509,0.008521936,0.012931034,0.281423523
Meizu M8 miniOne 8GB,01-12-08,2008.916667,1510,1,0.124973296,0.125838031,0.333195937,0.122302158,0.154471545,0.341269841,0.14324693,0.241803279,0.037844772,0.006937456,0.0125,0.533064109
Motorola MOTO VE66,01-12-08,2008.916667,1511,0,0.031220435,0.004193611,0.249657844,0.035971223,0.056910569,0.142857143,0.117326057,0.221311475,0.05837075,0.007151575,0.013146552,0.345784957
Navon N350,01-12-08,2008.916667,1512,0,0.031220435,0.001047635,0.197634121,0.129496403,0.089430894,0.103174603,0.255115962,0.118852459,0.101988454,0.027300173,0.00862069,0.17617365
Navon N360,01-12-08,2008.916667,1513,0,0.031220435,0.001047635,0.197634121,0.129496403,0.089430894,0.103174603,0.241473397,0.139344262,0.073123797,0.020105775,0.00862069,0.17617365
Nokia N85-2 NAM,01-12-08,2008.916667,1514,0,0.062471389,0.004193611,0.184127962,0.064748201,0.056910569,0.142857143,0.118690314,0.221311475,0.063502245,0.008200758,0.014655172,0.276375568
NTT DoCoMo PRO series HT-02A (HTC Diamond),01-12-08,2008.916667,1515,1,0.093722343,0.004193611,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.04041052,0.004368028,0.010775862,0.620646138
QiGi i7,01-12-08,2008.916667,1516,0,0.031220435,0.002096294,0.099589413,0.079136691,0.056910569,0.142857143,0.135061392,0.258196721,0.062219371,0.011776545,0.015086207,0.249116608
RIM BlackBerry Curve 8350i,01-12-08,2008.916667,1517,0,0.031220435,0.002096294,0.255660581,0.050359712,0.089430894,0.103174603,0.151432469,0.254098361,0.076330981,0.01002077,0.016163793,0.298334175
RoverPC evo V7 (SIM V1),01-12-08,2008.916667,1518,1,0.062471389,0.125838031,0.311686129,0.079136691,0.154471545,0.301587302,0.145975443,0.268442623,0.060295061,0.013361026,0.011422414,0.600201918
RoverPC pro G7 (SIM U1),01-12-08,2008.916667,1519,1,0.062471389,0.004193611,0.311686129,0.079136691,0.154471545,0.301587302,0.145975443,0.25,0.069275176,0.014431621,0.018965517,0.600201918
RoverPC Q7 (TechFaith Bono),01-12-08,2008.916667,1520,1,0.062471389,0.003144952,0.259662406,0.09352518,0.154471545,0.380952381,0.14324693,0.278688525,0.092366902,0.020855191,0.022413793,0.674911661
Samsung GT-i8510L 8GB,01-12-08,2008.916667,1521,0,0.062471389,0.004193611,0.164619066,0.079136691,0.056910569,0.142857143,0.129331514,0.235655738,0.071199487,0.011690898,0.017241379,0.249116608
Samsung SGH-i777 Saga,01-12-08,2008.916667,1522,0,0.062471389,0.004193611,0.199635034,0.064748201,0.089430894,0.142857143,0.151432469,0.307377049,0.047466325,0.012782905,0.015086207,0.335689046
SoftBank X05HT Touch Pro (HTC Raphael),01-12-08,2008.916667,1523,1,0.140598773,0.008388246,0.263664231,0.079136691,0.154471545,0.301587302,0.121418827,0.217213115,0.0766517,0.010663127,0.02262931,0.620646138
Trimble Juno SB,01-12-08,2008.916667,1524,0,0.062471389,0.002096294,0.266165371,0.129496403,0.056910569,0.142857143,0.184174625,0.327868852,0.1533034,0.051881035,0.036637931,0.17617365
Trimble Juno SC,01-12-08,2008.916667,1525,0,0.062471389,0.002096294,0.266165371,0.129496403,0.056910569,0.142857143,0.184174625,0.327868852,0.1533034,0.051881035,0.038793103,0.17617365
Asus P565,01-01-09,2009,1526,1,0.062471389,0.004193611,0.399726275,0.079136691,0.154471545,0.301587302,0.1473397,0.217213115,0.063502245,0.011690898,0.012931034,0.600201918
Athesi M3 Black,01-01-09,2009,1527,1,0.062471389,0.002096294,0.402727644,0.129496403,0.056910569,0.142857143,0.181446112,0.331967213,0.087876844,0.010598891,0.02262931,0.620646138
Blaupunkt TravelPilot 700,01-01-09,2009,1528,0,0.062471389,0.125838031,0.249657844,0.18705036,0.154471545,0.119047619,0.227830832,0.303278689,0.08274535,0.035586579,0.039439655,0.21251893
Bluebird Pidion BM-150R CDMA,01-01-09,2009,1529,0,0.062471389,0.004193611,0.259662406,0.129496403,0.056910569,0.142857143,0.180900409,0.351639344,0.079538165,0.029441364,0.034698276,0.17617365
Bluebird Pidion BM-150R GSM,01-01-09,2009,1530,0,0.062471389,0.004193611,0.259662406,0.129496403,0.056910569,0.142857143,0.180900409,0.351639344,0.079538165,0.029419952,0.028017241,0.17617365
Dopod S610 (HTC Nike),01-01-09,2009,1531,0,0.062471389,0.004193611,0.199635034,0.064748201,0.056910569,0.142857143,0.132332879,0.237704918,0.062219371,0.010470419,0.012931034,0.270570419
HKC Mopad 8,01-01-09,2009,1532,6,0.062471389,0.125838031,0.311686129,0.107913669,0.056910569,0.142857143,0.148703956,0.274590164,0.04041052,0.009335589,0.015086207,0.204442201
Meizu M8 miniOne 16GB,01-01-09,2009,1533,1,0.124973296,0.249999232,0.333195937,0.122302158,0.154471545,0.341269841,0.14324693,0.241803279,0.037844772,0.006937456,0.0125,0.533064109
NDrive S400 (SIM U1),01-01-09,2009,1534,1,0.062471389,0.004193611,0.311686129,0.079136691,0.154471545,0.301587302,0.145975443,0.25,0.089159718,0.018821061,0.020474138,0.600201918
NDrive Touch,01-01-09,2009,1535,0,0.031220435,0.001047635,0.185628647,0.129496403,0.089430894,0.103174603,0.249658936,0.118852459,0.04425914,0.019442006,0.017241379,0.21251893
NDrive Touch XL,01-01-09,2009,1536,0,0.031220435,0.001047635,0.185628647,0.18705036,0.154471545,0.119047619,0.315143247,0.12295082,0.050673509,0.011840781,0.010775862,0.17617365
Nokia N79 Eco,01-01-09,2009,1537,0,0.062471389,0.004193611,0.184127962,0.050359712,0.056910569,0.142857143,0.115961801,0.25,0.057087877,0.007879579,0.007974138,0.308430086
O2 XDA Flint (HTC Athena 400),01-01-09,2009,1538,6,0.062471389,0.004193611,0.311686129,0.237410072,0.219512195,0.222222222,0.249658936,0.346311475,0.063502245,0.03537246,0.067887931,0.288743059
Pharos Traveler 137 (Inventec Montblance 338),01-01-09,2009,1539,1,0.124973296,0.008388246,0.263664231,0.129496403,0.154471545,0.380952381,0.148703956,0.278688525,0.04425914,0.010427596,0.017241379,0.560070671
T-Mobile Shadow 2009 (HTC Converse 100),01-01-09,2009,1540,0,0.062471389,0.004193611,0.129603099,0.064748201,0.056910569,0.142857143,0.12414734,0.221311475,0.057087877,0.007751108,0.019396552,0.276375568
Unitech PA968,01-01-09,2009,1541,3,0.062471389,0.00524227,0.259662406,0.129496403,0.056910569,0.142857143,0.222373806,0.616803279,0.238614496,0.153330621,0.094827586,0.17617365
Dopod Touch HD (HTC Blackstone),01-02-09,2009.083333,1542,1,0.140598773,0.008388246,0.263664231,0.151079137,0.154471545,0.380952381,0.15361528,0.270491803,0.037844772,0.00912147,0.018318966,0.50454316
Dopod Touch Pro (HTC Raphael),01-02-09,2009.083333,1543,1,0.140598773,0.008388246,0.263664231,0.079136691,0.154471545,0.301587302,0.121964529,0.217622951,0.078896729,0.0111556,0.02262931,0.620646138
HKC G908 (SIM V1),01-02-09,2009.083333,1544,1,0.062471389,0.125838031,0.311686129,0.079136691,0.154471545,0.301587302,0.145975443,0.268442623,0.060295061,0.013361026,0.011422414,0.600201918
HKC Mopad 8E,01-02-09,2009.083333,1545,6,0.062471389,0.125838031,0.311686129,0.107913669,0.056910569,0.142857143,0.148703956,0.274590164,0.04041052,0.009335589,0.015086207,0.204442201
HTC S743 US (HTC Rose),01-02-09,2009.083333,1546,6,0.124973296,0.004193611,0.263664231,0.050359712,0.056910569,0.142857143,0.100682128,0.275819672,0.065426555,0.008179346,0.017241379,0.308430086
Motorola FR6000,01-02-09,2009.083333,1547,3,0.062471389,0.004193611,0.311686129,0.079136691,0.056910569,0.142857143,0.178717599,0.569672131,0.251443233,0.121855127,0.061422414,0.244068652
Motorola FR68,01-02-09,2009.083333,1548,6,0.062471389,0.004193611,0.311686129,0.079136691,0.056910569,0.142857143,0.16207367,0.379098361,0.111610006,0.037470826,0.04137931,0.244068652
Nokia 5800 NAM / 5800d-1b XpressMusic (Nokia Tube),01-02-09,2009.083333,1549,1,0.062471389,0.004193611,0.184127962,0.107913669,0.105691057,0.301587302,0.123328786,0.254098361,0.060295061,0.009592532,0.010560345,0.469207471
Nokia N85-3,01-02-09,2009.083333,1550,0,0.062471389,0.004193611,0.184127962,0.064748201,0.056910569,0.142857143,0.118690314,0.221311475,0.063502245,0.008200758,0.014655172,0.276375568
Palm Treo Pro CDMA (Palm Monk),01-02-09,2009.083333,1551,6,0.062471389,0.008388246,0.263664231,0.057553957,0.089430894,0.142857143,0.145975443,0.262295082,0.047466325,0.010149241,0.015732759,0.341241797
QiGi U6 / U6P,01-02-09,2009.083333,1552,6,0.062471389,0.004193611,0.311686129,0.107913669,0.056910569,0.142857143,0.148703956,0.274590164,0.04041052,0.009335589,0.015086207,0.204442201
T-Mobile MDA Basic (HTC Opal),01-02-09,2009.083333,1553,0,0.062471389,0.004193611,0.100089641,0.079136691,0.056910569,0.142857143,0.14324693,0.227459016,0.063502245,0.011669486,0.010775862,0.254164563
AnyDATA ASP-210C,01-03-09,2009.166667,1554,6,0.062471389,0.004193611,0.311686129,0.057553957,0.089430894,0.103174603,0.159618008,0.262295082,0.050673509,0.012568786,0.015086207,0.298334175
Asus P835 (Asus Galaxy 7),01-03-09,2009.166667,1555,1,0.140598773,0.004193611,0.263664231,0.129496403,0.154471545,0.380952381,0.14324693,0.270491803,0.049390635,0.010598891,0.018965517,0.560070671
HTC Touch Cruise 2009 T4242 (HTC Iolite 100),01-03-09,2009.166667,1556,6,0.124973296,0.008388246,0.263664231,0.079136691,0.056910569,0.142857143,0.128240109,0.217213115,0.053880693,0.007494165,0.009267241,0.254164563
Huawei C8100,01-03-09,2009.166667,1557,0,0.062471389,0.004193611,0.207638683,0.079136691,0.056910569,0.142857143,0.135061392,0.233606557,0.059653624,0.010127829,0.010775862,0.249116608
Mobile Compia M3 Black MC-1000,01-03-09,2009.166667,1558,6,0.062471389,0.004193611,0.402727644,0.129496403,0.056910569,0.142857143,0.181446112,0.331967213,0.08274535,0.029163009,0.038146552,0.17617365
Mobinnova ICE 5420,01-03-09,2009.166667,1559,6,0.062471389,0.004193611,0.263664231,0.09352518,0.056910569,0.182539683,0.128240109,0.266393443,0.04425914,0.007536989,0.012931034,0.281423523
Motorola MC5574,01-03-09,2009.166667,1560,0,0.062471389,0.004193611,0.259662406,0.129496403,0.056910569,0.142857143,0.192360164,0.422131148,0.191789609,0.08076569,0.064439655,0.17617365
Motorola MC5590,01-03-09,2009.166667,1561,0,0.062471389,0.004193611,0.259662406,0.129496403,0.056910569,0.142857143,0.192360164,0.401639344,0.127645927,0.053572576,0.054956897,0.17617365
O2 XDA Guide (HTC Iolite),01-03-09,2009.166667,1562,6,0.140598773,0.008388246,0.263664231,0.079136691,0.056910569,0.142857143,0.128240109,0.217213115,0.053880693,0.007494165,0.009267241,0.254164563
QiGi i6 Win / i6P Win (TechFaith Lancer),01-03-09,2009.166667,1563,6,0.062471389,0.004193611,0.311686129,0.079136691,0.056910569,0.142857143,0.140518417,0.246311475,0.05644644,0.010748774,0.012931034,0.249116608
Samsung GT-C6625 Valencia,01-03-09,2009.166667,1564,0,0.062471389,0.004193611,0.196133437,0.064748201,0.089430894,0.103174603,0.154160982,0.26352459,0.037524054,0.008821703,0.010280172,0.276375568
WayteQ N470,01-03-09,2009.166667,1565,0,0.031220435,0.001047635,0.185628647,0.18705036,0.154471545,0.119047619,0.320600273,0.147540984,0.08274535,0.033445389,0.034051724,0.21251893
